,Index,Text,Types,Tokens,Sentences,date,category,link,title,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation
text29,29,text29,26,27,3,3/19/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/H65bHdgGikI/,Test Word Changer JS,2,0,1,0,1,0,0,0
text30,30,text30,112,178,11,4/1/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/Au3zh0GF9HQ/,Hamburger Helper Wins April Fools,12,2,5,1,5,1,2,4
text31,31,text31,54,69,4,4/5/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/5P4S31T32YU/,Help Save The Curtis Brothers House,5,0,3,0,2,0,0,1
text32,32,text32,194,352,12,4/7/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/oTboHPRS7fo/,Five Web Based Analytical Tools That Will Improve your Writing,14,3,8,0,4,1,1,4
text33,33,text33,110,164,4,4/12/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/yic4I6swjxE/,This Is Your Brain On Drugs,-3,2,5,0,0,3,2,1
text34,34,text34,642,1640,19,4/13/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/gU0lMg32XvM/,A Poem So Youll Know All Of Scrabbles Two-Letter Words,12,9,25,5,15,17,11,20
text35,35,text35,46,54,3,4/13/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/cC9v23ppRtE/,Battle Of The Octopus,0,3,1,0,3,6,2,3
text36,36,text36,189,310,12,4/22/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/21iZhQCN090/,The Legacy Of Prince And Saturday Night Live,13,5,10,2,7,6,4,6
text37,37,text37,512,1489,8,4/27/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/tghx2A-zaTo/,The Entire Cast For The Twin Peaks Reboot,3,4,12,3,7,4,3,7
text38,38,text38,49,55,3,4/28/2016,sports,http://feedproxy.google.com/~r/Grantland/~3/kG-hZkd0uFs/,Every Bob Marley Opening Drum Fill,1,1,3,1,2,1,0,1
text39,39,text39,233,460,12,5/2/2016,sports,http://espn.go.com/mlb/story/_/id/15448949/josh-ravin-los-angeles-dodgers-suspended-80-games-peds,Dodgers P Ravin suspended 80 games for PEDs,-12,4,7,4,2,10,10,7
text40,40,text40,407,1127,40,5/2/2016,sports,http://espn.go.com/nba/playoffs/2016/story/_/id/15447558/portland-trail-blazers-star-damian-lillard-makes-family-milestone-midst-playoffs,The Undefeated: Damian Lillard played for Pops,40,4,17,2,16,5,5,19
text41,41,text41,204,459,18,5/2/2016,sports,http://espn.go.com/nba/story/_/id/15449200/indiana-pacers-president-larry-bird-says-coach-frank-vogel-future-uncertain,Pacers president Bird unsure of Vogel&apos;s future,7,4,6,3,2,5,5,5
text42,42,text42,460,1130,21,5/2/2016,sports,http://espn.go.com/mlb/story/_/id/15449372/pablo-sandoval-boston-red-sox-set-miss-rest-season-shoulder-surgery,Source: Sandoval (shoulder) set to miss rest of &apos;16,-3,9,23,6,9,15,17,20
text43,43,text43,325,716,17,5/2/2016,sports,http://www.nba.com/2016/news/05/02/la-clippers-offseason-chris-paul-blake-griffin-deandre-jordan.ap/index.html?rss=true,"Clippers' coach Rivers says team won't trade Paul, Griffin or Jordan",23,4,11,0,8,5,5,18
text44,44,text44,250,504,14,5/2/2016,sports,http://www.nba.com/2016/news/05/02/stephen-curry-injury-update-warriors-ap.ap/index.html?rss=true,Warriors still hopeful to have Curry back for Game 3,11,6,7,0,5,8,4,9
text45,45,text45,71,95,3,5/2/2016,sports,http://screamer.deadspin.com/lionel-messi-takes-on-giant-inflatable-demon-robot-keep-1774349296,Lionel Messi Takes On Giant Inflatable Demon Robot Keeper,-6,2,4,2,1,4,3,2
text46,46,text46,14,15,2,5/2/2016,sports,http://deadspin.com/deadspin-up-all-night-i-can-see-the-world-from-here-1774345966,Deadspin Up All Night: I Can See The World From Here,5,0,0,0,0,0,0,0
text47,47,text47,286,531,21,5/2/2016,sports,http://kotaku.com/my-quest-to-win-nba-mvp-1774228490,My Quest To Win NBA MVP,-2,11,6,8,2,17,10,8
text48,48,text48,124,193,4,5/2/2016,sports,http://deadspin.com/report-colin-cowherd-and-jason-whitlock-to-host-all-ta-1774332006,Report: Colin Cowherd And Jason Whitlock To HostAll Takes Matter At Fox Sports,-3,2,1,2,0,0,0,1
